product_id,name,description,price,currency,sizes,fits,tags,gender,category,subcategory,brand,geo_tags,offerPercentage,is_active,stock,created_at,updated_at
prod_34,Evening Clutch,Sparkling clutch for evening events,2599.0,INR,['One Size'],['Regular'],"['Party','Luxury','Evening']",female,Accessories,Bags,Charles & Keith,['India'],35.0,True,40,2024-03-28,2024-12-30
prod_35,Casual Sneakers,Everyday casual sneakers for comfort,2999.0,INR,"['7','8','9','10','11']",['Regular'],"['Casual','Comfort','Daily Wear']",unisex,Shoes,Sneakers,Converse,['India'],20.0,True,110,2024-03-30,2024-12-31
prod_36,Sweatpants Joggers,Comfortable joggers for lounging,1299.0,INR,"['S','M','L','XL']",['Relaxed'],"['Comfort','Loungewear','Athleisure']",male,Clothing,Bottoms,Puma,['India'],15.0,True,125,2024-04-01,2025-01-01
prod_37,Peplum Top,Stylish peplum top for evening outings,1599.0,INR,"['XS','S','M']",['Fitted'],"['Party','Feminine','Evening']",female,Clothing,Tops,Zara,['India'],25.0,True,70,2024-04-05,2025-01-02
prod_38,Rain Jacket,Waterproof rain jacket for monsoon,2799.0,INR,"['M','L','XL']",['Regular'],"['Rainwear','Outdoor','Utility']",unisex,Clothing,Jackets,Wildcraft,['India'],20.0,True,60,2024-04-08,2025-01-03
prod_39,Laptop Messenger Bag,Professional messenger bag for work,2299.0,INR,['One Size'],['Regular'],"['Professional','Office','Utility']",unisex,Accessories,Bags,American Tourister,['India'],15.0,True,55,2024-04-10,2025-01-04
prod_40,Cotton Night Suit,Comfortable night suit for sleeping,899.0,INR,"['S','M','L']",['Relaxed'],"['Sleepwear','Comfort','Homewear']",female,Clothing,Nightwear,Jockey,['India'],10.0,True,140,2024-04-12,2025-01-05
prod_41,Formal Tie,Silk formal tie for business attire,899.0,INR,['One Size'],['Regular'],"['Formal','Business','Accessories']",male,Accessories,Ties,Van Heusen,['India'],20.0,True,95,2024-04-15,2025-01-06
prod_42,Designer Saree Blouse,Heavily embroidered saree blouse,3999.0,INR,"['S','M','L']",['Fitted'],"['Traditional','Designer','Festive']",female,Clothing,Ethenic Wear,Biba,['India'],25.0,True,35,2024-04-18,2025-01-07
prod_43,Bomber Jacket,Stylish bomber jacket for casual wear,3499.0,INR,"['S','M','L','XL']",['Regular'],"['Casual','Streetwear','Trendy']",male,Clothing,Jackets,Zara,['India'],30.0,True,65,2024-04-20,2025-01-08
prod_44,Athletic Socks,Cushioned athletic socks for sports,299.0,INR,['One Size'],['Regular'],"['Activewear','Sports','Comfort']",unisex,Accessories,Socks,Nike,['India'],10.0,True,300,2024-04-22,2025-01-09
prod_45,Wedding Sherwani,Heavy embroidered wedding sherwani,29999.0,INR,"['M','L','XL']",['Regular'],"['Wedding','Luxury','Bridal']",male,Clothing,Ethnic Wear,Manyavar,['India'],40.0,True,12,2024-04-25,2025-01-10
prod_46,Beach Cover-up,Light beach cover-up for poolside,1199.0,INR,"['S','M','L']",['Relaxed'],"['Beach','Summer','Swimwear']",female,Clothing,Swimwear,H&M,['India'],25.0,True,85,2024-04-28,2025-01-11
prod_47,Wallet,Leather wallet with multiple compartments,1799.0,INR,['One Size'],['Regular'],"['Accessories','Leather','Utility']",male,Accessories,Wallets,Tommy Hilfiger,['India'],20.0,True,90,2024-05-01,2025-01-12
prod_48,Yoga Mat,Non-slip yoga mat for workouts,1499.0,INR,['One Size'],['Regular'],"['Fitness','Yoga','Wellness']",unisex,Accessories,Fitness,Decathlon,['India'],15.0,True,100,2024-05-05,2025-01-13
prod_49,Winter Scarf,Warm woolen scarf for winters,999.0,INR,['One Size'],['Regular'],"['Winter','Warm','Accessories']",unisex,Accessories,Scarves,H&M,['India'],30.0,True,120,2024-05-08,2025-01-14
prod_50,Skinny Jeans,Stretch skinny jeans for modern fit,2199.0,INR,"['28','30','32','34']",['Skinny'],"['Denim','Casual','Trendy']",female,Clothing,Jeans,Levi's,['India'],25.0,True,95,2024-05-10,2025-01-15
prod_51,Formal Oxford Shoes,Leather oxford shoes for formal occasions,4999.0,INR,"['7','8','9','10']",['Regular'],"['Formal','Leather','Business']",male,Shoes,Formal Shoes,Bata,['India'],20.0,True,50,2024-05-12,2025-01-16
prod_52,Bridal Jewelry Set,Kundan jewelry set for brides,8999.0,INR,['One Size'],['Regular'],"['Bridal','Jewelry','Traditional']",female,Accessories,Jewelry,Tanishq,['India'],35.0,True,25,2024-05-15,2025-01-17
prod_53,Track Suit,Full tracksuit for athletic wear,2599.0,INR,"['S','M','L','XL']",['Regular'],"['Activewear','Sports','Comfort']",unisex,Clothing,Activewear,Adidas,['India'],25.0,True,75,2024-05-18,2025-01-18
prod_54,Summer Hat,Straw hat for sun protection,899.0,INR,['One Size'],['Regular'],"['Summer','Beach','Accessories']",female,Accessories,Hats,Zara,['India'],20.0,True,110,2024-05-20,2025-01-19
prod_55,Bluetooth Beanie,Winter beanie with built-in headphones,2499.0,INR,['One Size'],['Regular'],"['Winter','Tech','Accessories']",unisex,Accessories,Hats,Sony,['India'],30.0,True,45,2024-05-22,2025-01-20
68c670c534d2e7ec62686dc4,Urban Graffiti Print Oversized Tee,Make a statement with this bold graffiti print tee. Screen printed on our signature 240 GSM cotton base for lasting vibrancy and comfort.,999,INR,,,,,Top Wear,,H&M,,,True,56,2025-09-16T13:00:00.000Z,2026-01-07T05:50:45.135Z
68c670c534d2e7ec62686dc3,Everyday Essential Linen Shirt - Beige,A breathable linen blend shirt perfect for smart-casual occasions. Features a mandarin collar and coconut buttons for a natural aesthetic.,1499.0,INR,,,,,Top Wear,,Zara,,,True,96,2025-09-16T12:00:00.000Z,2026-01-07T06:06:07.959Z
68c670c534d2e7ec62686dc2,Retro Washed Cargo Joggers,"Utility meets style. These cargo joggers feature a vintage wash finish, multiple utility pockets, and adjustable ankle toggles for a versatile fit.",1899.0,INR,,,,,Bottom Wear,,Louis Vuitton,,,True,99,2025-09-16T11:00:00.000Z,2026-01-01T15:40:14.695Z
68c670c534d2e7ec62686dc1,Heavyweight Boxy Hoodie Black,Our heaviest hoodie yet. Made from 400 GSM brushed fleece cotton for ultimate warmth and a structured boxy fit. Features a double-lined hood and dropped shoulders.,2499.0,INR,,,,,Activewear,,Gucci,,,True,99,2025-09-16T10:00:00.000Z,2026-01-01T16:16:43.077Z
68c670c534d2e7ec62686db0,Cynthia Pant Coord Set,"Elevate your everyday essentials. This sophisticated design features a relaxed, oversized silhouette with drop shoulders, ensuring a contemporary fit that drapes effortlessly.",1899.0,INR,,,,,Trosers,,Puma,,,True,100,2025-09-13T13:41:40.216Z,2025-09-13T13:41:40.216Z
68c670c534d2e7ec62686da1,Brown Knotted Style Blazer,"Elevate your everyday essentials. This sophisticated design features a relaxed, oversized silhouette ensuring a contemporary fit that drapes effortlessly.",0,INR,,,,,Top Wear,,Zara,,,True,0,2025-09-13T13:41:40.216Z,2026-01-06T13:55:29.569Z
68c670c534d2e7ec62686dc0,INVI SIGNATURE BLACK TEE,"Elevate your everyday essentials with our Premium Plain Drop Shoulder T-Shirt, meticulously crafted from 240 GSM terry cotton loop net fabric. Engineered to be stretch-resistant and shrink-proof.",1400,INR,,,,,Top Wear,,Under Armour,,,True,100,2025-09-13T13:41:40.216Z,2026-01-06T14:28:09.523Z
68c670c534d2e7ec62686daf,Penang Korean Style Blouse,"Elevate your everyday essentials with our Premium Plain Drop Shoulder T-Shirt. The soft, breathable terry cotton construction provides superior moisture-wicking properties and a subtle textured finish.",1499.0,INR,,,,,Top Wear,,Levis,,,True,100,2025-09-13T13:41:40.216Z,2025-09-13T13:41:40.216Z
68c670c534d2e7ec62686da7,Hollow Pipeline T-shirt,"Elevate your everyday essentials with our Premium Plain Drop Shoulder T-Shirt. Engineered to be stretch-resistant and shrink-proof, it guarantees lasting shape retention.",0,INR,,,,,Top Wear,,H&M,,,True,0,2025-09-13T13:41:40.216Z,2026-01-06T14:14:49.028Z
68c670c534d2e7ec62686d98,Maroon Midi Wrap Dress,"This sophisticated design features a relaxed, oversized silhouette with drop shoulders, ensuring a contemporary fit that drapes effortlessly. Perfect for the discerning individual seeking refined casualwear.",0,INR,,,,,Dress,,Under Armour,,,True,0,2025-09-13T13:41:40.216Z,2026-01-06T14:21:24.804Z
68c670c534d2e7ec62686d95,BLACK CHERUBS T-SHIRT,"Elevate your everyday essentials with our Premium Plain Drop Shoulder T-Shirt. Engineered to be stretch-resistant and shrink-proof, it guarantees lasting shape retention.",1395.0,INR,,,,,Top Wear,,Puma,,,True,100,2025-09-13T13:41:40.216Z,2025-09-15T06:09:14.824Z
68c670c534d2e7ec62686da0,Light Grey Jazz Flared Pants,Formal High Waist Trousers. Wash Care Instructions: wash or machine wash cold (inside out) Use mild detergnt avoid bleach or harsh chemicals.,1560.0,INR,,,,,Jeans,,Louis Vuitton,,,True,97,2025-09-13T13:41:40.216Z,2026-01-07T06:08:09.344Z
68c670c534d2e7ec62686dac,Christina Knit Co-Ord Set,"Elevate your everyday essentials. This sophisticated design features a relaxed, oversized silhouette ensuring a contemporary fit that drapes effortlessly.",3499.0,INR,,,,,Trosers,,Adidas,,,True,99,2025-09-13T13:41:40.216Z,2026-01-01T16:16:43.038Z
68c670c534d2e7ec62686d99,Grey Side Slit Trousers for Women,"High Waist Tailored Formal Pants. Engineered to be stretch-resistant and shrink-proof, it guarantees lasting shape retention even after up to 500 washes.",1560.0,INR,,,,,Jeans,,Gucci,,,True,99,2025-09-13T13:41:40.216Z,2026-01-05T11:41:24.421Z
68c670c534d2e7ec62686dab,HYPER ROYAL PAISLEY PUFFER JACKET,"Elevate your everyday essentials with our Premium Puffer Jacket. Engineered to be stretch-resistant and shrink-proof, it guarantees lasting shape retention even after up to 500 washes.",9999,INR,,,,,Top Wear,,Nike,,,True,499,2025-09-13T13:41:40.216Z,2026-01-07T06:03:11.864Z
68c670c534d2e7ec62686d84,Classics Oversized Maroon Tee [Unisex],"Elevate your everyday essentials with our Premium Plain Drop Shoulder T-Shirt. Available in a curated palette of vibrant terracotta orange, deep mocha brown, and pristine white, this versatile piece seamlessly integrates into any wardrobe.",899.0,INR,,,,,Top Wear,,Nike,,,True,99,2025-09-13T13:41:40.215Z,2026-01-05T11:40:36.234Z
68c670c534d2e7ec62686d81,Hand painted denim mandala,"Elevate your everyday essentials with our Premium Plain Drop Shoulder T-Shirt, meticulously crafted from 240 GSM terry cotton loop net fabric. Engineered to be stretch-resistant and shrink-proof, it guarantees lasting shape retention even after up to 500 washes.",3299,INR,,,,,Jeans,,H&M,,,True,50,2025-09-13T13:41:40.215Z,2026-01-06T14:27:26.618Z
68c670c534d2e7ec62686d7d,Drop Shoulder,"Elevate your everyday essentials with our Premium Plain Drop Shoulder T-Shirt, meticulously crafted from 240 GSM terry cotton loop net fabric for unparalleled comfort and durability across all seasons. This sophisticated design features a relaxed, oversized silhouette with drop shoulders, ensuring a contemporary fit that drapes effortlessly.",1200,INR,,,,,Top Wear,,Zara,,,True,40,2025-09-13T13:41:40.215Z,2026-01-06T13:53:38.378Z
68c670c534d2e7ec62686d8a,Classic Oversized Off white T Shirt,Elevate your everyday essentials with our Premium Plain Drop Shoulder T-Shirt. Perfect for the discerning individual seeking refined casualwear that prioritizes quality and longevity.,899,INR,,,,,Top Wear,,Levis,,,True,96,2025-09-13T13:41:40.215Z,2026-01-02T07:40:18.347Z
68c670c534d2e7ec62686d86,Classics Regular Yellow [Unisex],"Elevate your everyday essentials with our Premium Plain Drop Shoulder T-Shirt. The soft, breathable terry cotton construction provides superior moisture-wicking properties and a subtle textured finish.",799.0,INR,,,,,Top Wear,,Adidas,,,True,100,2025-09-13T13:41:40.215Z,2025-09-15T06:41:11.861Z
